Patience,Creativity,Active,Observation,Curiosity,Persistence,Analytical,Social,Nature,Outdoorsy
65,45,56,45,65,25,10,50,90,61
75,60,45,55,80,50,53,30,65,65
75,55,39,60,25,45,25,15,75,48
73,50,44,55,60,70,10,47,80,60
75,60,35,51,65,45,25,30,45,65
45,70,75,75,75,35,70,25,70,65
58,25,40,65,70,45,22,80,90,55
55,45,35,55,61,75,45,25,75,30
75,35,35,70,70,45,25,10,55,65
62,25,70,55,60,65,55,30,75,75
35,35,35,65,35,90,25,25,65,51
55,35,55,30,65,31,15,20,50,57
75,30,25,30,35,25,35,65,80,45
45,25,40,35,65,55,15,15,50,53
45,35,25,6,65,25,15,15,65,25
80,49,45,45,75,45,46,25,50,25
55,45,35,35,65,52,15,55,72,51
25,35,25,15,65,55,15,50,35,58
61,60,43,46,45,25,50,45,50,65
25,65,25,10,60,35,15,20,55,50
55,57,30,69,65,70,80,15,50,35
60,55,25,25,45,25,15,15,58,25
35,70,50,35,59,60,25,45,50,55
35,25,75,45,15,75,25,50,50,70
50,25,15,50,85,65,35,25,75,50
35,45,25,25,25,75,25,50,50,35
25,40,75,35,39,72,20,35,35,60
35,25,45,35,40,70,25,50,50,20
37,35,75,25,15,75,48,35,70,50
35,45,75,35,15,80,73,50,50,45
30,10,30,65,30,80,10,65,74,50
5,68,25,30,45,53,48,75,85,95
30,40,50,60,70,80,90,75,10,20
55,65,75,85,67,5,15,25,30,65
80,90,90,10,20,68,40,50,60,70
15,75,55,51,95,20,40,60,80,90
40,60,80,90,25,39,65,85,10,30
65,85,10,30,50,70,90,69,40,60
54,10,30,50,70,90,20,40,60,80
55,68,65,85,90,15,65,55,75,95
50,70,90,20,40,60,80,32,30,50
75,56,15,35,55,75,65,51,45,65
90,20,40,38,80,10,30,50,53,90
35,57,75,32,25,45,65,85,10,30
71,80,90,20,40,60,80,90,15,35
85,5,25,45,65,85,95,31,55,55
73,30,50,70,90,60,40,60,80,36
45,65,85,5,25,35,55,75,95,20
60,90,20,40,60,80,90,10,30,50
95,15,35,55,75,46,41,60,58,85
20,40,60,80,74,10,30,50,70,90
25,20,75,35,15,47,70,70,50,73
45,45,65,15,90,65,45,50,51,50
20,15,70,35,25,75,35,50,50,50
35,25,80,20,25,85,48,65,60,35
65,15,65,75,55,60,40,25,54,55
71,60,65,75,45,60,45,63,45,60
65,45,15,75,65,45,55,50,65,65
50,60,50,45,45,60,45,45,65,55
73,60,50,70,55,55,71,70,75,52
65,30,30,75,60,60,61,30,35,55
35,63,85,85,75,60,45,37,65,65
75,60,42,75,35,30,40,43,75,70
75,60,40,70,75,70,60,45,65,55
55,25,30,75,50,80,35,15,70,75
61,60,20,35,85,60,45,50,65,35
80,67,55,65,35,45,30,45,80,55
75,55,25,55,45,70,45,25,15,49
85,60,35,65,70,75,50,30,55,65
52,57,30,45,60,50,35,35,64,55
80,70,40,55,65,70,43,40,75,65
70,80,35,60,75,68,64,50,65,70
85,65,25,70,75,60,55,65,56,80
75,61,35,65,55,70,45,50,55,65
65,50,48,60,75,60,32,60,45,65
85,73,30,75,60,70,40,65,65,54
75,70,35,56,55,70,45,50,55,65
72,65,45,60,75,55,50,60,52,55
60,75,35,55,65,65,50,45,55,55
75,65,50,60,70,60,55,60,65,65
52,80,25,75,31,65,50,65,69,75
70,75,55,65,66,60,45,46,65,51
75,51,30,75,30,70,40,70,65,61
65,70,45,60,75,65,55,60,65,48
60,65,35,54,65,65,50,45,75,55
75,65,50,60,70,49,38,60,65,32
65,70,63,75,69,75,40,55,70,75
75,70,30,65,55,60,45,60,55,65
80,75,53,75,64,75,50,65,65,75
75,80,40,63,70,65,61,75,32,63
65,52,35,60,75,70,66,65,36,55
68,57,25,75,46,73,50,65,55,75
75,85,30,65,70,70,45,70,46,65
63,30,67,25,53,35,15,10,45,20
20,35,15,30,25,40,20,15,50,25
25,40,20,35,63,10,25,20,55,30
30,45,25,40,35,50,30,67,54,35
35,50,30,45,69,55,35,63,65,40
75,55,72,50,59,60,40,35,70,45
45,60,40,55,50,64,65,40,75,50
50,65,45,60,55,70,50,38,80,46
55,48,50,52,57,75,55,50,85,60
60,75,55,70,65,80,60,55,90,65
65,30,60,75,56,85,62,60,95,70
70,85,65,40,50,90,70,65,45,75
63,90,70,85,48,95,75,16,20,80
80,95,75,90,85,57,80,74,25,85
56,90,80,50,90,20,85,80,30,64
90,20,48,90,60,25,40,85,35,63
95,25,90,55,57,30,57,90,40,20
60,30,95,25,20,35,90,95,45,25
20,35,62,30,25,40,20,90,60,30
25,40,49,35,30,45,25,20,55,58
15,30,60,25,35,35,15,10,45,20
54,65,15,30,25,40,20,15,50,25
25,40,20,62,30,45,25,31,55,75
30,45,25,40,35,50,30,50,60,35
35,50,30,45,40,55,35,60,65,63
40,55,35,50,45,60,40,35,70,46
45,60,40,55,50,21,53,40,73,50
50,65,45,60,55,70,50,45,80,62
55,70,50,65,60,75,55,50,85,60
60,75,55,70,65,80,60,53,39,65
65,58,75,75,70,63,65,60,95,70
70,46,65,47,75,90,70,65,90,75
71,90,70,85,80,55,75,70,5,10
80,43,57,90,47,90,80,75,10,85
85,90,80,95,90,5,85,80,15,30
59,5,85,90,95,51,90,85,20,95
95,10,90,5,90,15,95,30,25,5
90,15,95,10,52,20,90,95,46,10
5,20,90,15,60,25,5,50,35,15
10,25,5,20,74,30,10,5,33,20
15,30,10,25,20,35,15,63,63,20
20,58,71,30,25,40,20,63,50,25
25,73,20,47,30,45,25,52,55,30
30,66,25,40,30,47,30,25,60,35
35,50,30,45,40,50,34,30,57,40
60,55,35,50,21,50,48,35,70,45
45,60,40,12,50,65,45,40,75,50
50,65,45,60,55,70,50,45,35,61
45,70,50,65,58,75,34,50,85,62
59,75,55,70,65,80,60,55,90,43
65,80,60,75,70,85,65,60,95,70
70,85,65,80,75,90,70,56,90,75
75,90,70,65,80,95,70,70,5,80
80,95,75,63,85,63,64,75,10,85
85,90,80,95,90,5,85,80,15,90
90,5,85,90,95,10,90,85,20,95
95,49,90,52,90,15,53,90,25,5
90,15,95,10,5,20,90,58,30,10
5,20,90,15,10,25,55,58,30,20
55,25,44,20,56,54,10,5,40,20
20,35,10,30,62,40,15,10,45,25
25,60,34,35,30,45,20,15,50,30
30,45,20,40,53,45,25,20,55,35
35,33,25,45,40,55,30,25,60,40
40,55,30,50,45,68,35,30,65,45
45,54,35,9,50,65,40,35,70,50
50,65,40,60,55,70,45,33,75,55
55,70,45,65,72,75,50,45,80,60
60,75,50,70,65,80,55,48,85,65
65,80,55,74,70,85,60,55,90,70
70,85,24,80,75,90,64,60,95,59
75,90,65,85,80,95,34,65,90,80
80,95,70,90,85,90,75,70,5,85
85,48,75,95,90,5,80,75,10,90
90,5,58,46,95,10,85,63,62,95
95,10,85,5,90,34,90,85,20,5
47,74,90,10,5,58,95,90,25,10
5,20,95,15,10,25,90,95,30,20
10,25,58,20,15,30,53,90,35,20
44,30,61,25,20,35,10,5,40,23
20,65,75,71,25,40,45,10,45,48
25,30,15,33,30,45,20,74,50,35
30,45,20,66,35,50,25,20,55,52
35,58,25,45,31,55,30,25,60,45
40,55,49,50,45,60,35,30,65,50
45,60,35,49,50,65,40,51,70,60
50,65,40,60,55,70,45,40,75,60
55,49,45,65,60,75,50,45,54,65
60,59,50,70,65,59,46,64,85,65
65,80,55,75,59,85,60,50,90,75
70,85,60,69,75,37,65,60,95,80
75,90,65,85,80,48,54,65,90,85
80,37,71,51,85,90,47,70,5,90
85,90,75,95,90,5,80,75,75,95
58,61,80,90,95,10,85,56,15,90
95,55,85,5,90,15,90,47,20,15
90,36,90,10,5,20,95,45,25,20
5,20,95,15,10,39,65,56,30,25
10,25,90,20,15,30,5,90,64,30
15,30,10,25,20,32,15,54,54,20
20,35,15,30,25,40,20,20,46,25
25,40,20,35,30,45,25,20,55,59
30,61,25,31,35,50,30,25,60,35
35,50,30,48,40,55,35,70,65,40
40,55,35,50,56,60,40,49,70,38
45,60,40,55,55,65,45,50,75,50
50,53,37,63,55,70,50,44,72,55
55,70,50,65,60,75,55,50,85,60
59,75,55,70,48,80,62,55,90,65
65,80,60,75,45,85,54,60,95,70
70,60,65,80,64,90,70,65,90,40
75,58,70,85,80,95,75,66,5,42
80,95,75,37,85,73,80,36,10,85
85,90,71,95,50,5,51,80,15,90
90,5,85,90,95,49,90,85,47,95
70,46,90,52,48,15,95,90,25,5
90,43,95,10,5,63,90,95,30,10
5,62,90,15,10,25,5,90,35,15
71,25,5,48,15,60,10,5,40,20
20,35,10,30,25,40,15,54,45,25
25,40,15,35,30,45,65,15,50,47
30,45,59,49,35,50,25,20,48,35
35,75,25,45,40,55,30,25,60,40
40,55,30,50,45,54,35,30,65,45
45,60,65,55,50,65,40,35,70,50
50,65,40,60,55,47,45,40,66,55
55,70,45,65,60,69,50,45,80,60
60,75,50,70,65,80,55,50,70,65
65,80,55,55,70,85,60,55,90,70
51,85,60,80,75,90,65,60,95,75
75,90,65,38,80,40,70,57,90,80
80,95,70,90,85,90,75,70,52,52
63,90,75,95,90,5,61,75,10,30
90,5,80,90,47,10,85,80,15,95
95,10,85,5,90,15,90,85,20,5
90,15,90,10,5,20,95,90,25,10
5,20,55,15,10,25,90,95,30,20
10,25,90,20,15,30,5,90,35,20
15,30,5,25,56,35,10,5,40,25
20,35,57,30,74,40,35,10,45,30
25,40,15,35,30,45,20,15,50,35
54,61,46,40,35,50,48,20,43,40
35,50,61,45,40,55,30,9,60,45
40,55,30,50,68,60,30,30,65,74
45,60,35,55,49,65,40,57,5,55
50,65,40,60,41,70,45,42,51,60
55,70,45,65,60,75,50,45,80,65
60,75,50,50,65,80,73,50,85,70
65,80,63,75,70,36,60,55,90,75
70,85,59,80,75,44,65,60,95,80
53,90,65,85,80,95,70,65,90,85
80,57,70,90,85,51,32,70,5,90
49,90,75,95,90,5,46,75,73,95
90,5,80,90,95,10,85,80,15,90
67,10,85,50,90,49,90,85,20,73
90,15,90,10,5,20,95,90,49,20
5,20,95,15,10,25,90,45,30,52
10,25,59,20,65,35,5,90,35,30
15,30,5,25,20,35,47,5,46,25
15,30,10,25,20,35,41,10,45,43
20,35,20,30,25,40,20,20,69,25
25,40,20,52,30,45,25,20,55,30
30,30,50,40,35,50,30,25,54,35
35,50,30,45,40,55,35,30,42,40
40,55,35,50,62,38,40,35,70,34
45,60,40,55,50,65,45,40,75,50
50,61,45,60,55,30,50,45,80,34
55,70,50,65,60,75,55,50,85,61
60,75,55,70,63,80,60,55,90,65
65,43,10,75,70,85,65,60,95,43
70,60,65,80,75,90,54,65,90,75
75,90,70,85,80,95,75,70,5,80
80,95,75,90,85,90,80,75,10,49
85,49,80,95,48,50,85,80,20,90
90,5,85,90,95,10,90,85,20,95
95,10,14,5,30,20,95,90,25,5
90,69,95,10,56,20,90,75,30,10
5,20,90,15,10,25,5,60,35,15
10,25,5,58,15,30,10,5,47,20
20,67,10,30,53,40,15,10,45,25
25,40,15,35,50,45,20,15,50,30
30,45,20,50,35,50,25,20,75,35
35,50,25,45,40,35,30,25,60,40
40,55,30,69,45,60,35,30,65,45
45,60,35,55,50,65,40,55,70,50
50,65,40,60,55,53,45,40,75,57
55,70,45,58,60,75,70,45,80,60
42,75,50,70,45,69,55,50,85,65
65,80,15,75,70,85,60,55,90,75
70,85,60,61,75,90,25,60,95,80
75,90,65,85,80,95,70,65,90,85
5,15,25,35,45,64,65,49,85,95
61,40,50,60,70,80,90,56,10,20
55,65,75,85,95,5,46,25,35,45
46,90,90,10,20,30,40,50,60,70
15,35,55,75,95,20,40,63,80,90
40,60,80,90,25,45,51,85,10,30
65,85,10,73,50,70,90,20,40,60
90,10,30,50,70,40,20,33,60,80
25,10,65,71,90,15,35,43,18,95
50,70,50,20,40,60,80,10,30,35
75,43,15,35,55,75,95,25,58,65
90,20,40,60,80,10,30,50,70,90
35,55,75,56,25,45,65,85,10,55
60,5,90,20,40,36,80,90,15,55
85,5,58,66,34,85,95,46,35,56
10,30,50,70,90,20,40,60,80,90
45,65,85,5,25,35,55,75,95,15
70,90,20,40,60,43,90,10,32,50
63,15,57,55,75,95,25,45,65,85
32,40,60,80,90,10,47,50,70,90
20,30,40,50,65,70,80,68,90,10
45,41,65,75,56,95,5,15,25,35
70,80,85,53,10,46,30,40,38,60
95,5,64,54,50,45,55,65,75,85
10,20,30,40,50,60,70,80,85,90
35,45,55,65,75,12,95,5,52,25
60,70,80,90,61,10,20,30,31,50
85,95,5,15,25,35,45,55,65,75
30,60,48,60,70,80,90,85,54,20
55,65,75,85,95,5,20,25,35,45
80,85,90,10,49,30,41,50,60,70
20,25,35,54,55,65,75,85,95,5
40,50,60,70,80,90,50,10,20,38
65,75,85,95,30,20,25,35,45,33
46,90,10,20,30,40,50,60,70,80
5,45,25,30,45,55,65,75,85,95
35,56,55,65,69,85,95,5,15,25
60,70,80,85,52,10,20,30,40,70
85,95,48,15,25,35,45,55,65,75
10,20,35,40,50,60,70,80,90,90
45,55,65,75,85,59,5,15,25,35
64,80,90,90,57,20,30,40,50,60
95,5,15,25,35,45,47,65,45,85
20,30,40,58,60,70,80,64,90,10
55,65,75,85,95,5,15,25,35,45
80,90,90,10,20,30,51,50,60,70
42,15,25,35,45,55,65,49,85,95
54,40,50,60,70,80,85,90,10,20
65,75,85,95,5,15,25,58,45,44
54,85,10,20,42,40,50,60,70,80
15,25,35,45,55,65,75,58,52,5
58,50,60,70,80,90,90,10,20,30
75,37,95,5,15,25,35,45,55,65
32,10,20,30,48,50,30,70,80,85
25,35,45,55,65,75,85,95,62,15
50,60,70,80,90,90,10,45,30,40
